ממש כואב ..... אני בכה את היא עם ה משפחה ש לא תדעו עוד צער	0
איש יקר של אנחנו	0
כל ה כבוד ו המון ב הצלחה	0
" תל חי , רובי . ב כל ה עצב ה זה היית קרן אור של תקוה . אכן יש נשיא ב ישראל "	0
נקי כפיים ו בר לבב ב הצלחה ל אתה ו ל אנחנו .	0
רובי חג שמח ו הצלחה ב בחירות ל ה נשיאות .	0
ה נשיא לא נותן יד . די אני ל התלהמות אפשר להביע דיעה ו להתנגד אך לא פיזית . זו ה בחירה של היא להנשא ל ה מוסלמי . נאחל ל היא הצלחה !	0
כבוד ה נשיא אין מתאים מן אתה ב ה עולם מ להיות נשיא מדינת ישראל עם ישראל אוהב את אתה ו ה קב ׳ ה אוהב את אתה ו אתה דוגמה ו מופת ל כל אדם באשר הוא אני מאחל ל אתה אושר עושר ו בריאות איתנה עד 120 ו עוד	0
" כל ה כבוד ל אתה אדוני ה נשיא כ איש ימין דווקא , אני חושב ש אהבה תנצח . "	0
אדוני ה נשיא סליחה על ה בוטות תפסיק לזיין את ה שכל . עד היום לא התבטאת ו לו ב מילה על ה מצב ב ה מדינה . לא ה בעת את אהדתך ל ה צבא . לא אמרת מילה טובה ו מעודדת ל תושבי ה דרום . אם חשוב ל אתה תשעה ב ה אב אז תחזור ל ה הסטוריה ו תעלם מ עינינו .	1
ב הצלחה אדוני ה נשיא	0
ו אני עוד חשבתי ש הגיע נשיא נורמלי	1
נשיא ה מדינה ה לבן ו ה מנותק חכם ב ה דיבורים . הוא לא יהיה שם ב רגע ה אמת לעזור ל היא לטפל ב פצעי ה מכות ה איומות ש היא תקבל . מנותק ו מנוכר מ עמו . אני בז ל הוא .	1
" דרך צלחה ב ים סוער !!! מאמינה ש תמשיך לנהוג כפי ש נהגת בהיותך יו ״ ר הכנסת , ב יושרה ו ב ליברליות נאורה , ו ב מנותק מן ה ביצה ה פוליטית ... "	0
" רובי ריבלין ה יקר !! אתה איש משפחה לא ???.. מעניין איך היית מגיב - אם ה בת של אתה הייתה מתחתנת היום עם ערבי .... נשיא מדינה מעודד התבוללות ב ה עם ה יהודי , לאן הגענו .... "	1
מגיע ל אתה !!!!	0
אמן	0
" ווא מרגש ! ב עזרת ה ׳  , , נשיא מדינת ישראל !! "	0
עוד לא שבוע ב ה תפקיד ו כבר שכחת מ איפה באת ?	1
ב ה הצלחה	0
אדוני ה נשיא . אם ה דמוקרטיה ו עתיד ה דו קיום חשובים ל אתה עשה מעשה ו ל אתה להיות אורח של כבוד ב ה חתונה ה זאת .	0
" ריבלין הרגע מחקתי את אתה , כמה אהבתי את אתה על זה נאמר " " סייג ל ה חוכמה ש תיקה " " "	1
אם יש מישהו ש מגיעה ל הוא זה אתה..בהצלחה	0
תתחיל ב ה מעשים !! עוד אחד פחדן ! כהנא צדק	1
" כבוד נשיאנו , אין שמח היה ממני ב יום בחירתך , לא חשבתי ש כל כך מהר אשמע את שמעון פרס מ גרונך , "	1
" עם ה תגובות ש נכתבות פה , יש ל אתה הרבה עבודה לעשות בתור נשיא , ב הצלחה ! "	0
רובי ... בדיחה אחת ב ה שבוע ... עם ישראל זקוק ל חיוך מידי פעם .	0
